level,question,year,city,town,name,value
tracts,Annual checkup,2018,NA,NA,09001060100,0.8
tracts,Annual checkup,2018,NA,NA,09001060200,0.797
tracts,Annual checkup,2018,NA,NA,09001060300,0.7979999999999999
tracts,Annual checkup,2018,NA,NA,09001060400,0.8029999999999999
tracts,Annual checkup,2018,NA,NA,09001060500,0.7990000000000002
tracts,Annual checkup,2018,NA,NA,09001060600,0.813
tracts,Annual checkup,2018,NA,NA,09001060700,0.762
tracts,Annual checkup,2018,NA,NA,09001060800,0.79
tracts,Annual checkup,2018,NA,NA,09001060900,0.7909999999999999
tracts,Annual checkup,2018,NA,NA,09001061000,0.792
tracts,Annual checkup,2018,NA,NA,09001061100,0.782
tracts,Annual checkup,2018,NA,NA,09001061200,0.7709999999999999
tracts,Annual checkup,2018,NA,NA,09001061300,0.7669999999999999
tracts,Annual checkup,2018,NA,NA,09001061400,0.7549999999999999
tracts,Annual checkup,2018,NA,NA,09001061500,0.779
tracts,Annual checkup,2018,NA,NA,09001061600,0.7859999999999999
tracts,Annual checkup,2018,NA,NA,09001070100,0.755
tracts,Annual checkup,2018,NA,NA,09001070200,0.7609999999999999
tracts,Annual checkup,2018,NA,NA,09001070300,0.754
tracts,Annual checkup,2018,NA,NA,09001070400,0.755
tracts,Annual checkup,2018,NA,NA,09001070500,0.743
tracts,Annual checkup,2018,NA,NA,09001070600,0.7859999999999999
tracts,Annual checkup,2018,NA,NA,09001070900,0.768
tracts,Annual checkup,2018,NA,NA,09001071000,0.755
tracts,Annual checkup,2018,NA,NA,09001071100,0.762
tracts,Annual checkup,2018,NA,NA,09001071200,0.7709999999999999
tracts,Annual checkup,2018,NA,NA,09001071300,0.7649999999999999
tracts,Annual checkup,2018,NA,NA,09001071400,0.728
tracts,Annual checkup,2018,NA,NA,09001071600,0.738
tracts,Annual checkup,2018,NA,NA,09001071900,0.738
tracts,Annual checkup,2018,NA,NA,09001072000,0.758
tracts,Annual checkup,2018,NA,NA,09001072100,0.7809999999999999
tracts,Annual checkup,2018,NA,NA,09001072200,0.7859999999999999
tracts,Annual checkup,2018,NA,NA,09001072300,0.769
tracts,Annual checkup,2018,NA,NA,09001072400,0.775
tracts,Annual checkup,2018,NA,NA,09001072500,0.778
tracts,Annual checkup,2018,NA,NA,09001072600,0.773
tracts,Annual checkup,2018,NA,NA,09001072700,0.792
tracts,Annual checkup,2018,NA,NA,09001072800,0.8009999999999999
tracts,Annual checkup,2018,NA,NA,09001072900,0.7909999999999999
tracts,Annual checkup,2018,NA,NA,09001073000,0.785
tracts,Annual checkup,2018,NA,NA,09001073100,0.8039999999999999
tracts,Annual checkup,2018,NA,NA,09001073200,0.794
tracts,Annual checkup,2018,NA,NA,09001073300,0.784
tracts,Annual checkup,2018,NA,NA,09001073400,0.773
tracts,Annual checkup,2018,NA,NA,09001073500,0.7589999999999999
tracts,Annual checkup,2018,NA,NA,09001073600,0.7490000000000001
tracts,Annual checkup,2018,NA,NA,09001073700,0.782
tracts,Annual checkup,2018,NA,NA,09001073800,0.745
tracts,Annual checkup,2018,NA,NA,09001073900,0.7659999999999999
tracts,Annual checkup,2018,NA,NA,09001074000,0.7659999999999999
tracts,Annual checkup,2018,NA,NA,09001074300,0.79
tracts,Annual checkup,2018,NA,NA,09001074400,0.7959999999999999
tracts,Annual checkup,2018,NA,NA,09001080100,0.7759999999999999
tracts,Annual checkup,2018,NA,NA,09001080200,0.77
tracts,Annual checkup,2018,NA,NA,09001080400,0.8009999999999999
tracts,Annual checkup,2018,NA,NA,09001080500,0.799
tracts,Annual checkup,2018,NA,NA,09001080600,0.7959999999999999
tracts,Annual checkup,2018,NA,NA,09001080700,0.7709999999999999
tracts,Annual checkup,2018,NA,NA,09001080800,0.7829999999999999
tracts,Annual checkup,2018,NA,NA,09001080900,0.777
tracts,Annual checkup,2018,NA,NA,09001081000,0.792
tracts,Annual checkup,2018,NA,NA,09001081100,0.7909999999999999
tracts,Annual checkup,2018,NA,NA,09001081200,0.7939999999999999
tracts,Annual checkup,2018,NA,NA,09001081300,0.835
tracts,Annual checkup,2018,NA,NA,09001090100,0.81
tracts,Annual checkup,2018,NA,NA,09001090200,0.807
tracts,Annual checkup,2018,NA,NA,09001090300,0.7959999999999999
tracts,Annual checkup,2018,NA,NA,09001090400,0.7909999999999999
tracts,Annual checkup,2018,NA,NA,09001090500,0.789
tracts,Annual checkup,2018,NA,NA,09001090600,0.8059999999999999
tracts,Annual checkup,2018,NA,NA,09001090700,0.7909999999999999
tracts,Annual checkup,2018,NA,NA,09001100100,0.78
tracts,Annual checkup,2018,NA,NA,09001100200,0.785
tracts,Annual checkup,2018,NA,NA,09001100300,0.7829999999999999
tracts,Annual checkup,2018,NA,NA,09001105100,0.804
tracts,Annual checkup,2018,NA,NA,09001105200,0.7959999999999999
tracts,Annual checkup,2018,NA,NA,09001110100,0.76
tracts,Annual checkup,2018,NA,NA,09001110201,0.763
tracts,Annual checkup,2018,NA,NA,09001110202,0.8079999999999999
tracts,Annual checkup,2018,NA,NA,09001110301,0.8000000000000002
tracts,Annual checkup,2018,NA,NA,09001110302,0.7809999999999999
tracts,Annual checkup,2018,NA,NA,09001110400,0.7909999999999999
tracts,Annual checkup,2018,NA,NA,09001110500,0.794
tracts,Annual checkup,2018,NA,NA,09001110600,0.7809999999999999
tracts,Annual checkup,2018,NA,NA,09001200100,0.76
